date,clae2,salary,dollar,dolarized_salary
2007-09-01,66,2962,3.21,923
2007-09-01,68,1855,3.21,578
2007-09-01,69,2471,3.21,770
2007-09-01,70,2138,3.21,666
2007-09-01,71,2203,3.21,686
2007-09-01,72,3536,3.21,1102
2007-09-01,73,2925,3.21,911
2007-09-01,74,1532,3.21,477
2007-09-01,75,1094,3.21,341
2007-09-01,77,2278,3.21,710
2007-09-01,78,1425,3.21,444
2007-09-01,79,2127,3.21,663
2007-09-01,80,1382,3.21,431
2007-09-01,81,1137,3.21,354
2007-09-01,82,1972,3.21,614
2007-09-01,85,1228,3.21,383
2007-09-01,86,2055,3.21,640
2007-09-01,87,1561,3.21,486
2007-09-01,88,1374,3.21,428
2007-09-01,90,1417,3.21,441
2007-09-01,91,1680,3.21,523
